"subscription_length","vehicle_age","customer_age","region_density","airbags","displacement","cylinder","turning_radius","length","width","gross_weight","ncap_rating"
12.4,0.6,44,8794,2,1197,4,4.8,3845,1735,1335,2
7.7,0,45,4076,2,796,3,4.6,3445,1515,1185,0
8.3,1.2,43,27003,6,1197,4,4.85,3990,1745,1410,0
0.8,0.6,41,4076,2,998,3,4.7,3655,1620,1340,2
10.6,0.8,38,27003,2,796,3,4.6,3445,1515,1185,0
2.8,1.2,36,8794,2,1197,4,4.8,3845,1735,1335,2
0.2,1.4,40,5410,2,1197,4,4.8,3845,1735,1335,2
11.8,2,37,8794,6,1493,4,5.2,4300,1790,1720,3
6.4,2.2,44,27003,2,999,3,5,3731,1579,1155,2
4.3,2,35,5410,2,1197,4,4.8,3845,1735,1335,2
12.1,3.8,38,5410,6,1197,4,4.85,3990,1745,1410,0
5.5,0.6,61,4076,2,796,3,4.6,3445,1515,1185,0
2.6,0.4,39,34738,2,796,3,4.6,3445,1515,1185,0
0.9,2.2,44,17804,6,1493,4,5.2,4300,1790,1720,3
10.1,2.8,50,27003,2,1197,4,4.8,3995,1735,1335,2
1.8,1,35,8794,6,1493,4,5.2,4300,1790,1720,3
4.6,1.2,35,27742,2,796,3,4.6,3445,1515,1185,0
2.7,0,49,4076,1,1196,4,4.5,3675,1475,1510,0
10.9,2,35,17804,2,999,3,5,3731,1579,1155,2
0.9,0.4,36,27003,2,1197,4,4.8,3995,1735,1335,2
2.2,3.2,47,8794,2,1197,4,4.8,3845,1735,1335,2
0.4,0.4,53,34738,2,796,3,4.6,3445,1515,1185,0
11.7,1.2,39,290,2,1197,4,4.8,3845,1735,1335,2
10.6,3.6,47,4076,2,1197,4,4.8,3845,1735,1335,2
12.2,3.2,52,5410,2,1197,4,4.8,3845,1735,1335,2
0.8,1.4,52,8794,6,1493,4,5.2,4300,1790,1720,3
3.8,2,42,6108,6,1197,4,4.85,3990,1745,1410,0
0.5,2,48,8794,6,1493,4,5.2,4300,1790,1720,3
5,1.4,44,13051,2,1197,4,4.8,3995,1735,1335,2
1.3,3.2,47,27742,6,1493,4,5.2,4300,1790,1720,3
2,2.6,41,73430,2,998,3,4.7,3655,1620,1340,2
0.6,0,49,5410,2,796,3,4.6,3445,1515,1185,0
1,0.4,43,5410,2,1197,4,4.8,3845,1735,1335,2
0.2,0.2,46,4990,2,796,3,4.6,3445,1515,1185,0
1.1,0.4,40,34738,2,1498,4,4.9,3995,1695,1051,4
4.9,1.4,52,34738,2,1197,4,4.8,3845,1735,1335,2
1.5,1,44,27003,2,1197,4,4.8,3845,1735,1335,2
2.8,0.2,37,6112,2,796,3,4.6,3445,1515,1185,0
11.2,0.4,57,17804,2,796,3,4.6,3445,1515,1185,0
12.4,2,36,7788,2,1197,4,4.8,3845,1735,1335,2
1,1.2,37,6108,2,1197,4,4.8,3845,1735,1335,2
8.2,0.2,45,27003,2,1197,4,4.8,3845,1735,1335,2
4.3,2,36,290,2,796,3,4.6,3445,1515,1185,0
1.8,1.6,52,27003,1,1196,4,4.5,3675,1475,1510,0
11.1,1.4,37,4076,6,1493,4,5.2,4300,1790,1720,3
5,1.4,52,8794,6,1197,4,4.85,3990,1745,1410,0
12.2,0.4,41,27003,2,1498,4,4.9,3995,1695,1051,4
10.6,1.6,43,27003,6,1197,4,4.85,3990,1745,1410,0
0.2,1,40,4076,2,796,3,4.6,3445,1515,1185,0
12.3,3.2,40,65567,6,1493,4,5.2,4300,1790,1720,3
1.1,1,40,8794,6,1493,4,5.2,4300,1790,1720,3
11.1,1,57,34738,2,998,3,4.7,3655,1620,1340,2
10.7,2.2,40,8794,6,1493,4,5.2,4300,1790,1720,3
6.8,0.6,49,5410,6,1493,4,5.2,4300,1790,1720,3
1.1,0,53,4076,2,796,3,4.6,3445,1515,1185,0
11.8,1.6,53,8794,6,1493,4,5.2,4300,1790,1720,3
8.5,0.2,58,4076,2,796,3,4.6,3445,1515,1185,0
0.1,0,53,4076,2,796,3,4.6,3445,1515,1185,0
5.3,0.4,53,34738,2,796,3,4.6,3445,1515,1185,0
0.4,2.6,40,7788,2,1197,4,4.8,3845,1735,1335,2
3.1,2.6,45,4076,2,1197,4,4.8,3845,1735,1335,2
7.4,0.2,40,27003,2,796,3,4.6,3445,1515,1185,0
4.4,0.4,43,34738,2,796,3,4.6,3445,1515,1185,0
7.7,0.8,40,7788,2,1497,4,5,3990,1755,1490,5
2.1,0.4,39,290,2,998,3,4.7,3655,1620,1340,2
3.8,0.6,45,27003,6,1493,4,5.2,4300,1790,1720,3
2.2,2.4,41,8794,1,1196,4,4.5,3675,1475,1510,0
9.7,6,52,8794,2,1197,4,4.8,3845,1735,1335,2
7.6,1.2,57,34738,2,796,3,4.6,3445,1515,1185,0
11.7,1.4,55,8794,6,1493,4,5.2,4300,1790,1720,3
0.9,3,35,6112,6,1493,4,5.2,4300,1790,1720,3
5.1,0.2,40,34738,2,796,3,4.6,3445,1515,1185,0
1,1.6,43,27003,1,1196,4,4.5,3675,1475,1510,0
5.7,0,40,34791,2,796,3,4.6,3445,1515,1185,0
0.9,3.6,44,21622,6,1493,4,5.2,4300,1790,1720,3
8.8,2.6,60,7788,2,1197,4,4.8,3845,1735,1335,2
0.8,0,54,73430,6,1493,4,5.2,4300,1790,1720,3
3.4,0.2,57,4076,2,1197,4,4.8,3845,1735,1335,2
0.2,2.8,35,27003,2,998,3,4.7,3655,1620,1340,2
0.4,0.4,47,34738,2,796,3,4.6,3445,1515,1185,0
5.6,0.6,45,8794,6,1493,4,5.2,4300,1790,1720,3
2.7,0.2,45,13051,2,796,3,4.6,3445,1515,1185,0
3.8,1.8,41,4076,2,998,3,4.7,3655,1620,1340,2
3.2,0.8,38,4076,2,796,3,4.6,3445,1515,1185,0
11.1,2.8,36,3264,6,1493,4,5.2,4300,1790,1720,3
2.2,2.4,40,34738,2,1197,4,4.8,3845,1735,1335,2
1.4,0.8,51,4076,2,796,3,4.6,3445,1515,1185,0
8.1,1.8,40,8794,6,1493,4,5.2,4300,1790,1720,3
1.1,1,39,34738,2,1498,4,4.9,3995,1695,1051,4
3,2.4,48,8794,2,1197,4,4.8,3845,1735,1335,2
8.7,0.8,56,27742,6,1493,4,5.2,4300,1790,1720,3
6.5,0.4,36,4990,2,796,3,4.6,3445,1515,1185,0
2.8,2.4,44,17804,2,998,3,4.7,3655,1620,1340,2
2.2,0.2,41,27003,2,796,3,4.6,3445,1515,1185,0
12.2,3,57,13051,6,1493,4,5.2,4300,1790,1720,3
10.4,0.4,45,8794,2,1197,4,4.8,3845,1735,1335,2
12.2,2.2,55,65567,6,1493,4,5.2,4300,1790,1720,3
10.3,0.2,39,27003,2,1197,4,4.8,3845,1735,1335,2
9.2,2.2,45,13051,2,1197,4,4.8,3845,1735,1335,2
10.5,1,36,5410,2,999,3,5,3731,1579,1155,2
9.6,0.4,44,4076,2,796,3,4.6,3445,1515,1185,0
0.1,0.8,41,16206,2,1199,3,5.1,3993,1811,1660,5
6.8,0.2,44,8794,2,1497,4,5,3990,1755,1490,5
2.8,1.4,36,8794,6,1493,4,5.2,4300,1790,1720,3
10.8,0.6,51,8794,2,796,3,4.6,3445,1515,1185,0
9.8,0,36,73430,6,1493,4,5.2,4300,1790,1720,3
5.7,1,42,5410,2,1199,3,5.1,3993,1811,1660,5
10.8,1.4,38,4076,2,1197,4,4.8,3845,1735,1335,2
6.4,1.4,35,8794,6,1197,4,4.85,3990,1745,1410,0
1.6,2.8,39,73430,6,1493,4,5.2,4300,1790,1720,3
11.6,0.4,53,6108,2,1498,4,4.9,3995,1695,1051,4
3.8,0.6,47,17804,2,796,3,4.6,3445,1515,1185,0
10.4,0.2,36,8794,2,1497,4,5,3990,1755,1490,5
3.8,2,44,27003,2,1197,4,4.8,3845,1735,1335,2
3.5,3.2,43,4076,2,999,3,5,3731,1579,1155,2
11.8,1,40,4076,2,1197,4,4.8,3845,1735,1335,2
10.3,2.4,40,7788,6,1493,4,5.2,4300,1790,1720,3
11.9,1.6,48,8794,2,999,3,5,3731,1579,1155,2
6.4,0.4,38,4076,2,796,3,4.6,3445,1515,1185,0
0,0.8,47,5410,6,1493,4,5.2,4300,1790,1720,3
8.6,0.2,43,34738,2,796,3,4.6,3445,1515,1185,0
0.4,0.2,39,4076,2,796,3,4.6,3445,1515,1185,0
2.4,0.6,57,34738,2,796,3,4.6,3445,1515,1185,0
10.9,1.8,48,34738,2,998,3,4.7,3655,1620,1340,2
5.4,0.2,42,4990,2,796,3,4.6,3445,1515,1185,0
9,0.8,53,34738,2,1197,4,4.8,3845,1735,1335,2
10.1,2.8,43,7788,6,1493,4,5.2,4300,1790,1720,3
8.7,0,51,34738,2,796,3,4.6,3445,1515,1185,0
6.6,0.2,41,8794,2,1197,4,4.8,3845,1735,1335,2
10.3,1.2,51,6108,2,1197,4,4.8,3845,1735,1335,2
8.6,0.8,45,34738,2,796,3,4.6,3445,1515,1185,0
0.9,2.2,48,5410,2,1197,4,4.8,3845,1735,1335,2
12.3,1.8,45,8794,6,1493,4,5.2,4300,1790,1720,3
1.3,0.4,35,34791,2,796,3,4.6,3445,1515,1185,0
6.3,1,40,4990,2,1197,4,4.8,3845,1735,1335,2
2.4,1.2,43,34738,6,1493,4,5.2,4300,1790,1720,3
0.4,0.6,44,73430,2,796,3,4.6,3445,1515,1185,0
10.2,0,37,27003,6,1493,4,5.2,4300,1790,1720,3
6.6,2.4,35,27003,6,1493,4,5.2,4300,1790,1720,3
5.8,1.8,37,34738,2,998,3,4.7,3655,1620,1340,2
5.4,0.2,54,73430,2,796,3,4.6,3445,1515,1185,0
5.5,1.6,36,73430,1,1196,4,4.5,3675,1475,1510,0
11.2,0.4,54,27003,2,796,3,4.6,3445,1515,1185,0
0.1,1,39,4076,2,1197,4,4.8,3845,1735,1335,2
7.1,1.6,50,34738,2,1498,4,4.9,3995,1695,1051,4
0.3,1.4,48,17804,2,1197,4,4.8,3845,1735,1335,2
2.9,2,41,17804,6,1493,4,5.2,4300,1790,1720,3
0.4,0,38,4076,2,796,3,4.6,3445,1515,1185,0
11.3,2.2,39,4990,2,1197,4,4.8,3845,1735,1335,2
11.1,2,54,8794,2,1197,4,4.8,3845,1735,1335,2
3.6,0.4,42,4076,2,796,3,4.6,3445,1515,1185,0
0.4,0.2,46,8794,2,1197,4,4.8,3845,1735,1335,2
0.8,2.4,35,34738,6,1493,4,5.2,4300,1790,1720,3
10.8,1.6,45,27003,2,1197,4,4.8,3845,1735,1335,2
4.3,0.2,50,34738,2,796,3,4.6,3445,1515,1185,0
11.3,0.6,60,8794,6,1197,4,4.85,3990,1745,1410,0
10,2.4,49,7788,2,1197,4,4.8,3845,1735,1335,2
0.9,0.8,35,4076,2,1197,4,4.8,3845,1735,1335,2
10.1,0.2,44,8794,6,1493,4,5.2,4300,1790,1720,3
1.7,0.6,50,8794,1,1196,4,4.5,3675,1475,1510,0
12.3,3.6,52,8794,6,1493,4,5.2,4300,1790,1720,3
7.3,2.6,45,8794,2,1197,4,4.8,3845,1735,1335,2
2.2,3.2,48,6108,6,1493,4,5.2,4300,1790,1720,3
8.9,1,44,34738,6,1197,4,4.85,3990,1745,1410,0
2.6,1.6,40,34738,6,1197,4,4.85,3990,1745,1410,0
10.1,2.4,51,5410,1,1196,4,4.5,3675,1475,1510,0
11.4,1.8,43,27742,6,1493,4,5.2,4300,1790,1720,3
3,0.8,43,8794,2,998,3,4.7,3655,1620,1340,2
0.8,1.6,38,290,6,1493,4,5.2,4300,1790,1720,3
2.5,2,46,34738,6,1493,4,5.2,4300,1790,1720,3
8.7,0.6,47,34738,2,796,3,4.6,3445,1515,1185,0
1.6,0.6,39,17804,2,796,3,4.6,3445,1515,1185,0
6,1.2,38,73430,2,1498,4,4.9,3995,1695,1051,4
11.7,0.8,52,6112,2,1498,4,4.9,3995,1695,1051,4
0.9,1.8,35,73430,6,1197,4,4.85,3990,1745,1410,0
1.7,0.2,47,34738,6,1493,4,5.2,4300,1790,1720,3
12.2,3.2,44,8794,2,1197,4,4.8,3845,1735,1335,2
4.5,2.6,36,8794,2,1199,3,5.1,3993,1811,1660,5
11.4,1.6,54,27742,2,1197,4,4.8,3845,1735,1335,2
10.1,2,43,8794,2,998,3,4.7,3655,1620,1340,2
11.4,2.4,51,27003,2,1197,4,4.8,3845,1735,1335,2
12.5,2.8,60,17804,2,796,3,4.6,3445,1515,1185,0
7,0.8,39,27003,6,1493,4,5.2,4300,1790,1720,3
8.9,0,39,34738,2,1197,4,4.8,3845,1735,1335,2
10.6,2.4,41,8794,2,1197,4,4.8,3995,1735,1335,2
8.7,0.8,45,27003,6,1493,4,5.2,4300,1790,1720,3
1,3,47,17804,2,1197,4,4.8,3845,1735,1335,2
1.1,0,45,4076,2,998,3,4.7,3655,1620,1340,2
0.8,0.2,54,13051,2,796,3,4.6,3445,1515,1185,0
9.7,3,59,7788,2,1197,4,4.8,3845,1735,1335,2
10.7,2.2,44,27742,6,1493,4,5.2,4300,1790,1720,3
8.2,2.2,40,27003,2,998,3,4.7,3655,1620,1340,2
11.6,2.4,42,7788,6,1493,4,5.2,4300,1790,1720,3
10.7,0.6,47,4990,2,1197,4,4.8,3845,1735,1335,2
1.4,0.8,45,21622,2,796,3,4.6,3445,1515,1185,0
0.9,3.6,41,290,2,1197,4,4.8,3845,1735,1335,2
11.3,0.6,43,7788,2,1197,4,4.8,3845,1735,1335,2
6.2,1,35,6108,1,1196,4,4.5,3675,1475,1510,0
10.2,1.2,45,17804,6,1493,4,5.2,4300,1790,1720,3
10.3,1,37,8794,2,1197,4,4.8,3845,1735,1335,2
1.7,2,46,27003,2,998,3,4.7,3655,1620,1340,2
0.1,1,43,4990,6,1493,4,5.2,4300,1790,1720,3
4,0.4,48,17804,2,796,3,4.6,3445,1515,1185,0
7.8,3,41,27003,2,1197,4,4.8,3845,1735,1335,2
0.4,1.4,42,27003,6,1197,4,4.85,3990,1745,1410,0
7.2,0.8,42,73430,2,796,3,4.6,3445,1515,1185,0
9.2,1.6,37,8794,2,1197,4,4.8,3845,1735,1335,2
6.7,0.2,49,13051,2,796,3,4.6,3445,1515,1185,0
1.6,0,36,4076,2,796,3,4.6,3445,1515,1185,0
0.7,1.4,50,27742,6,1493,4,5.2,4300,1790,1720,3
5.6,3,48,34738,6,1493,4,5.2,4300,1790,1720,3
12.3,0.6,49,8794,6,1493,4,5.2,4300,1790,1720,3
11.5,0.4,49,7788,6,1493,4,5.2,4300,1790,1720,3
0.4,0.4,40,4076,2,796,3,4.6,3445,1515,1185,0
12.5,0.2,46,73430,2,1197,4,4.8,3845,1735,1335,2
12.1,2.6,52,8794,2,1197,4,4.8,3845,1735,1335,2
11.5,1.6,44,27003,2,998,3,4.7,3655,1620,1340,2
9,2,39,21622,2,1197,4,4.8,3995,1735,1335,2
1,2,40,16206,2,1197,4,4.8,3995,1735,1335,2
6,0.2,40,34738,2,796,3,4.6,3445,1515,1185,0
2.1,1.4,35,7788,6,1493,4,5.2,4300,1790,1720,3
0.9,2.4,40,34738,2,1197,4,4.8,3845,1735,1335,2
2.3,0.2,37,27003,2,796,3,4.6,3445,1515,1185,0
7.7,2.4,38,8794,2,1197,4,4.8,3845,1735,1335,2
0.4,0.4,51,4076,2,796,3,4.6,3445,1515,1185,0
5.8,1,47,27742,2,796,3,4.6,3445,1515,1185,0
10.7,4,63,8794,6,1493,4,5.2,4300,1790,1720,3
10.7,0.8,44,4990,2,998,3,4.7,3655,1620,1340,2
0.9,0,45,4076,2,796,3,4.6,3445,1515,1185,0
5.4,0.2,37,35036,2,1197,4,4.8,3845,1735,1335,2
7.9,0.4,35,35036,2,796,3,4.6,3445,1515,1185,0
0.1,0,48,27003,2,796,3,4.6,3445,1515,1185,0
8.7,0.4,54,34738,2,796,3,4.6,3445,1515,1185,0
11.7,1.6,40,34738,2,1498,4,4.9,3995,1695,1051,4
3.3,0.8,39,35036,2,796,3,4.6,3445,1515,1185,0
11.2,0.8,44,5410,2,1197,4,4.8,3845,1735,1335,2
10.8,1.6,44,27003,2,1197,4,4.8,3845,1735,1335,2
10.3,1.8,44,27003,6,1197,4,4.85,3990,1745,1410,0
7.8,0.8,46,13051,2,796,3,4.6,3445,1515,1185,0
11,2.4,36,8794,2,1197,4,4.8,3845,1735,1335,2
5.4,2.2,64,8794,6,1493,4,5.2,4300,1790,1720,3
0.9,0.2,44,290,6,1493,4,5.2,4300,1790,1720,3
3.5,3.6,59,8794,1,1196,4,4.5,3675,1475,1510,0
1.7,0,50,34738,2,796,3,4.6,3445,1515,1185,0
7.4,0.2,43,4076,2,796,3,4.6,3445,1515,1185,0
1.3,2.2,44,8794,6,1493,4,5.2,4300,1790,1720,3
11.9,0.8,44,8794,2,1197,4,4.8,3845,1735,1335,2
2.1,0.8,43,4076,6,1493,4,5.2,4300,1790,1720,3
11.8,3,43,27003,2,999,3,5,3731,1579,1155,2
0.6,0.2,43,34738,2,998,3,4.7,3655,1620,1340,2
3.6,1,35,3264,2,1197,4,4.8,3845,1735,1335,2
2.4,0.6,40,34738,6,1493,4,5.2,4300,1790,1720,3
7.3,0.2,45,34738,2,1197,4,4.8,3845,1735,1335,2
12,0.2,45,7788,2,796,3,4.6,3445,1515,1185,0
0.9,1.2,44,8794,2,999,3,5,3731,1579,1155,2
12,1,50,34791,2,998,3,4.7,3655,1620,1340,2
4.3,2.4,35,8794,1,1196,4,4.5,3675,1475,1510,0
0.9,3.2,46,73430,6,1493,4,5.2,4300,1790,1720,3
5,0.4,42,73430,2,999,3,5,3731,1579,1155,2
4.1,1,53,34791,2,1197,4,4.8,3845,1735,1335,2
7.9,2,36,5410,2,1498,4,4.9,3995,1695,1051,4
10.1,0.6,43,6112,2,1197,4,4.8,3845,1735,1335,2
0.5,1.4,39,4076,2,1197,4,4.8,3845,1735,1335,2
0.9,0.6,37,17804,6,1493,4,5.2,4300,1790,1720,3
1,2.2,36,34738,2,1197,4,4.8,3845,1735,1335,2
8.1,1.2,35,7788,2,1197,4,4.8,3845,1735,1335,2
0.1,0,44,6112,2,998,3,4.7,3655,1620,1340,2
6.6,2,48,27003,2,796,3,4.6,3445,1515,1185,0
11.6,2.2,49,34791,2,998,3,4.7,3655,1620,1340,2
1.1,0.4,40,27003,2,998,3,4.7,3655,1620,1340,2
6.3,0.8,45,4076,2,796,3,4.6,3445,1515,1185,0
2.3,2,60,8794,2,1197,4,4.8,3845,1735,1335,2
7.5,1,57,17804,2,796,3,4.6,3445,1515,1185,0
0.9,0.6,41,17804,6,1493,4,5.2,4300,1790,1720,3
3.8,2,45,8794,6,1493,4,5.2,4300,1790,1720,3
0.9,1.6,39,27003,6,1197,4,4.85,3990,1745,1410,0
5,2.6,40,5410,6,1493,4,5.2,4300,1790,1720,3
3,0.4,38,4076,2,998,3,4.7,3655,1620,1340,2
0.3,0.6,54,4076,2,796,3,4.6,3445,1515,1185,0
2.6,0.2,43,34738,2,1498,4,4.9,3995,1695,1051,4
2.8,2.6,44,4076,1,1196,4,4.5,3675,1475,1510,0
1.2,0.8,36,27003,2,796,3,4.6,3445,1515,1185,0
4,2.8,44,8794,2,1197,4,4.8,3845,1735,1335,2
0.5,0,40,13051,2,796,3,4.6,3445,1515,1185,0
2,0.2,60,73430,2,796,3,4.6,3445,1515,1185,0
11.8,1.2,50,8794,1,1196,4,4.5,3675,1475,1510,0
3.1,2.4,42,8794,6,1197,4,4.85,3990,1745,1410,0
11,1.4,46,34738,6,1197,4,4.85,3990,1745,1410,0
5.6,0.4,41,27003,2,1197,4,4.8,3845,1735,1335,2
3.7,1.2,44,27003,6,1493,4,5.2,4300,1790,1720,3
1.7,0,54,17804,2,796,3,4.6,3445,1515,1185,0
0.8,0,37,5410,2,1197,4,4.8,3845,1735,1335,2
1.4,2,50,27003,6,1493,4,5.2,4300,1790,1720,3
11.7,0.2,54,8794,1,1196,4,4.5,3675,1475,1510,0
0.2,0.2,45,27003,2,796,3,4.6,3445,1515,1185,0
6.6,1,52,6108,2,796,3,4.6,3445,1515,1185,0
2.5,2.8,45,4076,2,999,3,5,3731,1579,1155,2
12.3,1,58,34738,6,1493,4,5.2,4300,1790,1720,3
7.2,0,40,4076,2,796,3,4.6,3445,1515,1185,0
11.6,1.2,54,27003,2,1197,4,4.8,3845,1735,1335,2
6,0.6,48,27003,6,1197,4,4.85,3990,1745,1410,0
12.3,1.6,52,8794,2,1197,4,4.8,3845,1735,1335,2
4.2,0.2,39,4076,2,796,3,4.6,3445,1515,1185,0
0.9,2.8,36,8794,2,999,3,5,3731,1579,1155,2
0.3,2.4,35,73430,2,1498,4,4.9,3995,1695,1051,4
3.8,0.2,36,5410,6,1493,4,5.2,4300,1790,1720,3
3,0.2,40,4076,2,796,3,4.6,3445,1515,1185,0
1,3,48,16733,2,1197,4,4.8,3845,1735,1335,2
11,0.8,55,8794,2,998,3,4.7,3655,1620,1340,2
11.7,2.2,37,34738,2,1197,4,4.8,3845,1735,1335,2
0.1,0,40,8794,2,1197,4,4.8,3845,1735,1335,2
12.2,3.4,63,7788,2,1197,4,4.8,3845,1735,1335,2
0.5,2.2,39,34791,2,1197,4,4.8,3845,1735,1335,2
12.4,2.6,37,4076,2,998,3,4.7,3655,1620,1340,2
11.7,2.2,40,34791,6,1197,4,4.85,3990,1745,1410,0
0.8,1.4,39,27003,6,1493,4,5.2,4300,1790,1720,3
3.5,0.2,48,27003,6,1493,4,5.2,4300,1790,1720,3
9.6,0.2,43,4076,2,796,3,4.6,3445,1515,1185,0
0.4,0,39,4076,2,796,3,4.6,3445,1515,1185,0
0.8,2.6,40,6112,1,1196,4,4.5,3675,1475,1510,0
0.8,0,39,290,2,796,3,4.6,3445,1515,1185,0
3.8,0.4,37,27003,2,1498,4,4.9,3995,1695,1051,4
11,2,39,5410,6,1493,4,5.2,4300,1790,1720,3
2.5,1.4,43,34738,6,1493,4,5.2,4300,1790,1720,3
12.2,1,40,13051,2,1197,4,4.8,3845,1735,1335,2
0.1,2.4,49,27003,2,1197,4,4.8,3845,1735,1335,2
2.8,0.8,44,34738,2,998,3,4.7,3655,1620,1340,2
1,0,39,73430,2,796,3,4.6,3445,1515,1185,0
10,1.2,36,17804,2,1197,4,4.8,3845,1735,1335,2
8,3.2,37,5410,2,1497,4,5,3990,1755,1490,5
5.9,0.2,41,34738,2,1197,4,4.8,3845,1735,1335,2
10.5,0.2,45,8794,2,999,3,5,3731,1579,1155,2
1.5,1.6,36,5410,2,1197,4,4.8,3845,1735,1335,2
1.7,2.4,35,27003,6,1493,4,5.2,4300,1790,1720,3
0.5,0.6,35,27003,2,796,3,4.6,3445,1515,1185,0
10.6,2,42,5410,2,1197,4,4.8,3995,1735,1335,2
5,2.2,48,34738,2,796,3,4.6,3445,1515,1185,0
11.5,0.8,39,27003,2,1498,4,4.9,3995,1695,1051,4
10.1,0.4,52,34738,2,1197,4,4.8,3845,1735,1335,2
0.3,0.4,35,4076,2,796,3,4.6,3445,1515,1185,0
3.9,1.4,44,27003,2,796,3,4.6,3445,1515,1185,0
3.6,1,47,4076,6,1493,4,5.2,4300,1790,1720,3
4.8,0.2,46,73430,2,796,3,4.6,3445,1515,1185,0
4.5,0.8,36,20905,2,796,3,4.6,3445,1515,1185,0
3.2,0.4,40,5410,2,796,3,4.6,3445,1515,1185,0
0.9,0,45,34738,2,796,3,4.6,3445,1515,1185,0
5.3,1.4,45,8794,6,1493,4,5.2,4300,1790,1720,3
1.1,0.2,52,34738,6,1493,4,5.2,4300,1790,1720,3
8.4,1.8,52,27003,6,1197,4,4.85,3990,1745,1410,0
8.7,1.8,41,5410,2,1197,4,4.8,3845,1735,1335,2
7.3,0.8,54,6108,6,1493,4,5.2,4300,1790,1720,3
4.8,1,43,34738,2,1197,4,4.8,3845,1735,1335,2
0.9,2.6,38,4076,2,999,3,5,3731,1579,1155,2
1.6,1.6,48,27742,6,1493,4,5.2,4300,1790,1720,3
0.1,2,35,6112,6,1493,4,5.2,4300,1790,1720,3
2.8,0.8,44,17804,2,796,3,4.6,3445,1515,1185,0
10.5,1.4,55,27003,6,1197,4,4.85,3990,1745,1410,0
10.7,1.2,53,34791,6,1197,4,4.85,3990,1745,1410,0
1.8,1.2,41,6112,6,1197,4,4.85,3990,1745,1410,0
11.2,1.6,39,13051,2,1197,4,4.8,3845,1735,1335,2
10.8,2,48,8794,6,1197,4,4.85,3990,1745,1410,0
5.2,0.8,35,34791,2,1197,4,4.8,3845,1735,1335,2
1.2,0.2,43,34738,2,796,3,4.6,3445,1515,1185,0
8.6,0.2,57,27742,2,796,3,4.6,3445,1515,1185,0
11.1,2.6,40,13051,6,1493,4,5.2,4300,1790,1720,3
7.1,0.8,48,8794,6,1493,4,5.2,4300,1790,1720,3
8,1.6,52,17804,6,1493,4,5.2,4300,1790,1720,3
9.4,2.2,35,8794,2,998,3,4.7,3655,1620,1340,2
3.7,0.2,45,34791,6,1493,4,5.2,4300,1790,1720,3
0.3,0,58,8794,6,1493,4,5.2,4300,1790,1720,3
10.7,0.8,54,7788,2,999,3,5,3731,1579,1155,2
0.5,0.2,39,4076,2,796,3,4.6,3445,1515,1185,0
0.3,0.2,37,8794,6,1493,4,5.2,4300,1790,1720,3
10.7,1,44,8794,2,796,3,4.6,3445,1515,1185,0
0.2,0.4,49,7788,2,796,3,4.6,3445,1515,1185,0
1.4,0.4,35,8794,2,998,3,4.7,3655,1620,1340,2
8,2.4,40,27742,2,1197,4,4.8,3845,1735,1335,2
8.4,2,36,8794,2,1498,4,4.9,3995,1695,1051,4
4.9,2.4,48,27003,6,1493,4,5.2,4300,1790,1720,3
9.7,1.6,37,5410,2,1498,4,4.9,3995,1695,1051,4
